번호,{독일어예문},{한국어해석},{핵심관사}
79,Der Tisch ist aus Holz.,그 책상은 나무로 되어 있다.,Der (남성 1격)
80,Ich decke den Tisch.,나는 그 식탁을 차린다.,den (남성 4격)
81,Der Tag war lang.,그 날은 길었다.,Der (남성 1격)
82,Ich wünsche dir einen guten Tag.,좋은 하루를 빌어드립니다.,einen (남성 4격)
83,Die Zeit vergeht schnell.,그 시간은 빨리 지나간다.,Die (여성 1격)
84,Hast du eine Minute Zeit?,잠깐 시간이 있니?,eine (여성 4격)
85,Das Jahr ist fast zu Ende.,그 해는 거의 끝나간다.,Das (중성 1격)
86,Wir warten ein Jahr.,우리는 1년을 기다린다.,ein (중성 4격)
87,Der Regen ist stark.,그 비는 강하다.,Der (남성 1격)
88,Ich mag den Regen nicht.,나는 그 비를 좋아하지 않는다.,den (남성 4격)
89,Die Sonne scheint.,그 태양이 빛난다.,Die (여성 1격)
90,Wir genießen die Sonne.,우리는 그 햇빛을 즐긴다.,die (여성 4격)
91,Der Hund bellt.,그 개가 짖는다.,Der (남성 1격)
92,Er füttert einen Hund.,그는 개 한 마리를 먹인다,einen (남성 4격/füttern)
93,Die Katze schläft.,그 고양이가 자고 있다.,Die (여성 1격)
94,Ich streichle eine Katze.,나는 고양이 한 마리를 쓰다듬는다.,eine (여성 4격)
95,Der Name ist kompliziert.,그 이름은 복잡하다.,Der (남성 1격)
96,Ich kenne den Namen.,나는 그 이름을 안다.,den (남성 4격)
97,Die Frage ist schwer.,그 질문은 어렵다.,Die (여성 1격)
98,Er stellt eine Frage.,그는 질문 하나를 한다.,eine (여성 4격)
99,Das Problem ist gelöst.,그 문제는 해결되었다.,Das (중성 1격)
100,Wir haben ein Problem.,우리는 문제가 하나 있다.,ein (중성 4격)
